Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
23,2004-10-24,,JAX,"L, 24-27",2,17,pass,Dallas Clark 17 yard pass from Peyton Manning (Mike Vanderjagt kick)
24,2004-10-24,,JAX,"L, 24-27",4,39,pass,Marvin Harrison 39 yard pass from Peyton Manning (Mike Vanderjagt kick)
25,2004-10-31,@,KAN,"L, 35-45",1,52,pass,Marvin Harrison 52 yard pass from Peyton Manning (Mike Vanderjagt kick)
26,2004-10-31,@,KAN,"L, 35-45",2,5,pass,Marcus Pollard 5 yard pass from Peyton Manning (Mike Vanderjagt kick)
27,2004-10-31,@,KAN,"L, 35-45",3,22,pass,Marvin Harrison 22 yard pass from Peyton Manning (Mike Vanderjagt kick)
28,2004-10-31,@,KAN,"L, 35-45",3,41,pass,Reggie Wayne 41 yard pass from Peyton Manning (Mike Vanderjagt kick)
29,2004-10-31,@,KAN,"L, 35-45",4,6,pass,Reggie Wayne 6 yard pass from Peyton Manning (Mike Vanderjagt kick)
30,2004-11-08,,MIN,"W, 31-28",1,5,pass,Reggie Wayne 5 yard pass from Peyton Manning (Mike Vanderjagt kick)
31,2004-11-08,,MIN,"W, 31-28",2,10,pass,Marcus Pollard 10 yard pass from Peyton Manning (Mike Vanderjagt kick)
32,2004-11-08,,MIN,"W, 31-28",3,4,pass,Dallas Clark 4 yard pass from Peyton Manning (Mike Vanderjagt kick)
33,2004-11-08,,MIN,"W, 31-28",4,19,pass,Marcus Pollard 19 yard pass from Peyton Manning (Mike Vanderjagt kick)
34,2004-11-14,,HOU,"W, 49-14",1,4,pass,Brandon Stokley 4 yard pass from Peyton Manning (Mike Vanderjagt kick)
35,2004-11-14,,HOU,"W, 49-14",2,5,pass,Reggie Wayne 5 yard pass from Peyton Manning (Mike Vanderjagt kick)
36,2004-11-14,,HOU,"W, 49-14",2,1,pass,Dallas Clark 1 yard pass from Peyton Manning (Mike Vanderjagt kick)
37,2004-11-14,,HOU,"W, 49-14",3,69,pass,Brandon Stokley 69 yard pass from Peyton Manning (Mike Vanderjagt kick)
38,2004-11-14,,HOU,"W, 49-14",3,37,fumble,Bob Sanders 37 yard fumble return (Mike Vanderjagt kick)
39,2004-11-14,,HOU,"W, 49-14",3,80,pass,Dallas Clark 80 yard pass from Peyton Manning (Mike Vanderjagt kick)
40,2004-11-14,,HOU,"W, 49-14",4,77,interception,Von Hutchins 77 yard interception return (Mike Vanderjagt kick)
41,2004-11-21,@,CHI,"W, 41-10",1,14,pass,Marcus Pollard 14 yard pass from Peyton Manning (Mike Vanderjagt kick)
42,2004-11-21,@,CHI,"W, 41-10",2,35,pass,Reggie Wayne 35 yard pass from Peyton Manning (Mike Vanderjagt kick)
43,2004-11-21,@,CHI,"W, 41-10",2,10,pass,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick)
44,2004-11-21,@,CHI,"W, 41-10",3,27,pass,Reggie Wayne 27 yard pass from Peyton Manning (Mike Vanderjagt kick)
45,2004-11-21,@,CHI,"W, 41-10",3,11,rush,Edgerrin James 11 yard rush (Mike Vanderjagt kick)
46,2004-11-25,@,DET,"W, 41-9",1,4,pass,Brandon Stokley 4 yard pass from Peyton Manning (Mike Vanderjagt kick)
47,2004-11-25,@,DET,"W, 41-9",1,12,pass,Brandon Stokley 12 yard pass from Peyton Manning (Mike Vanderjagt kick failed)
48,2004-11-25,@,DET,"W, 41-9",2,25,pass,Brandon Stokley 25 yard pass from Peyton Manning (Mike Vanderjagt kick)
49,2004-11-25,@,DET,"W, 41-9",2,13,pass,Marvin Harrison 13 yard pass from Peyton Manning (Mike Vanderjagt kick)
50,2004-11-25,@,DET,"W, 41-9",3,10,pass,Marvin Harrison 10 yard pass from Peyton Manning (Mike Vanderjagt kick)
51,2004-11-25,@,DET,"W, 41-9",3,5,pass,Marvin Harrison 5 yard pass from Peyton Manning (Mike Vanderjagt kick)
52,2004-12-05,,TEN,"W, 51-24",1,24,pass,Marvin Harrison 24 yard pass from Peyton Manning (Mike Vanderjagt kick)
53,2004-12-05,,TEN,"W, 51-24",1,4,rush,Edgerrin James 4 yard rush (Mike Vanderjagt kick)
54,2004-12-05,,TEN,"W, 51-24",2,28,pass,Brandon Stokley 28 yard pass from Peyton Manning (Mike Vanderjagt kick)
55,2004-12-05,,TEN,"W, 51-24",2,68,blocked field goal,Rob Morris 68 yard blocked field goal return (Mike Vanderjagt kick)
56,2004-12-05,,TEN,"W, 51-24",3,12,rush,Edgerrin James 12 yard rush (Mike Vanderjagt kick)
57,2004-12-05,,TEN,"W, 51-24",4,10,pass,Reggie Wayne 10 yard pass from Peyton Manning (Mike Vanderjagt kick)
58,2004-12-12,@,HOU,"W, 23-14",1,3,pass,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick)
59,2004-12-12,@,HOU,"W, 23-14",1,12,pass,Reggie Wayne 12 yard pass from Peyton Manning (Mike Vanderjagt kick)
60,2004-12-19,,BAL,"W, 20-10",3,29,pass,Marvin Harrison 29 yard pass from Peyton Manning (Mike Vanderjagt kick)
61,2004-12-19,,BAL,"W, 20-10",3,3,rush,Edgerrin James 3 yard rush (Mike Vanderjagt kick)
62,2004-12-26,,SDG,"W, 34-31",3,3,pass,James Mungro 3 yard pass from Peyton Manning (Mike Vanderjagt kick)
63,2004-12-26,,SDG,"W, 34-31",4,88,kickoff,Dominic Rhodes 88 yard kickoff return (Mike Vanderjagt kick)
64,2004-12-26,,SDG,"W, 34-31",4,21,pass,Brandon Stokley 21 yard pass from Peyton Manning (Edgerrin James run)
65,2005-01-02,@,DEN,"L, 14-33",1,7,pass,Marvin Harrison 7 yard pass from Jim Sorgi (Mike Vanderjagt kick)
66,2005-01-02,@,DEN,"L, 14-33",2,71,pass,Reggie Wayne 71 yard pass from Jim Sorgi (Mike Vanderjagt kick)
