play_id,game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
1441.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1441.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1464.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1464.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1489.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1489.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1516.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1516.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
1543.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1543.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
1570.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1570.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1604.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1604.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1633.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1633.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1655.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1655.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1680.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1680.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1705.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1705.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1735.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1735.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1760.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1760.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1887.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1887.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
1904.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1904.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
1926.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1926.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
1951.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,1951.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2024.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2024.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
