ydstogo,ydsnet,desc,yards_gained,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,penalty_player_id,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,aborted_play,success,first_down,out_of_bounds
1.0,76.0,(1:44) 10-K.Holcomb pass incomplete to 82-S.Heiden (53-M.Washington).,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
1.0,76.0,"(1:38) 31-W.Green right end to IND 1 for no gain (50-D.Thornton, 53-M.Washington).",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
1.0,76.0,"(:56) 4-P.Dawson 19 yard field goal is GOOD, Center-64-R.Pontbriand, Holder-17-C.Gardocki.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,0.0
0.0,44.0,"4-P.Dawson kicks 69 yards from CLE 30 to IND 1. 84-B.Pyatt to IND 15 for 14 yards (28-L.Bodden, 51-C.Thompson).",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
10.0,44.0,"(:47) 32-E.James right end to IND 27 for 12 yards (24-R.Griffith). FUMBLES (24-R.Griffith), ball out of bounds at IND 27. Browns player #24 caused fumble",12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
10.0,44.0,(:22) 18-P.Manning pass to 81-M.Pollard to IND 33 for 6 yards (58-B.Taylor).,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,0.0
0.0,44.0,END QUARTER 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0
4.0,44.0,"(15:00) 18-P.Manning pass to 81-M.Pollard to IND 37 for 4 yards (33-D.McCutcheon, 58-B.Taylor).",4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
10.0,44.0,"(14:15) 18-P.Manning pass to 88-M.Harrison to IND 41 for 4 yards (33-D.McCutcheon, 58-B.Taylor).",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
6.0,44.0,(13:35) 32-E.James left tackle to CLE 48 for 11 yards (94-G.Warren).,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,1.0,0.0
10.0,44.0,(12:46) 32-E.James left end to CLE 44 for 4 yards (37-A.Henry).,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
6.0,44.0,(12:15) 18-P.Manning sacked at IND 49 for -7 yards (92-C.Brown).,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
13.0,44.0,(11:43) (Shotgun) 18-P.Manning pass to 86-T.Walters to CLE 41 for 10 yards (33-D.McCutcheon).,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
3.0,44.0,"(11:00) 17-H.Smith punts 34 yards to CLE 7, Center-48-J.Snow, fair catch by 86-D.Northcutt.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,1.0,0.0,0.0
